id,id_docente,Column1,nu_ano,nu_ano_censo,nu_ano_conclusao_1,nu_ano_conclusao_3,nu_idade,in_profissionalizante,in_regular,in_superdotacao,in_surdez,in_surdocegueira,nome_escola_id,in_pos_nenhum,in_mestrado,nu_mes,tp_ensino_medio,tp_escolaridade,tp_etapa_ensino,tp_local_resid_diferenciada,tp_situacao_curso_1,tp_situacao_curso_2,tp_situacao_curso_3,tp_tipo_contratacao,tp_tipo_docente,tp_tipo_ies_1,tp_tipo_ies_2,tp_tipo_ies_3,in_especializacao,in_especial_exclusiva,in_eja,in_doutorado,in_disc_sociologia,in_disc_quimica,in_disc_profissionalizante,in_disc_port_segunda_lingua,in_disc_pedagogicas,in_disc_outras,in_disc_matematica,in_disc_lingua_portuguesa,in_disc_lingua_outra,in_disc_lingua_indigena,in_disc_lingua_frances,in_disc_lingua_espanhol,in_disc_libras,in_disc_informatica_computacao,in_disc_historia,in_disc_geografia,in_disc_filosofia,in_disc_estudos_sociais,in_disc_estagio_supervisionado,in_disc_est_sociais_sociologia,in_disc_lingua_ingles,in_disc_fisica,in_disc_ensino_religioso,in_disc_educacao_fisica,in_def_auditiva,in_def_fisica,in_def_intelectual,in_def_multipla,in_disc_artes,in_disc_biologia,in_disc_ciencias,in_cegueira,in_baixa_visao,in_autismo,co_area_compl_pedagogica_1,co_area_compl_pedagogica_2,co_area_compl_pedagogica_3,co_area_curso_1,co_area_curso_2,co_area_curso_3,co_curso_1,co_curso_2,co_curso_3,co_curso_educ_profissional,co_ies_1,co_ies_2,co_ies_3,co_municipio_end,co_municipio_nasc,co_pais_origem,co_uf_end,co_uf_nasc
3602,0735C561A8B643C0DAFFEEC997A3A1E7,3602,1959,2019,1994,NA,60,0,1,NA,NA,NA,474,0,0,4,NA,4,26,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,1,0,NA,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,1,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,145F15,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
3603,0735C561A8B643C0DAFFEEC997A3A1E7,3603,1959,2019,1994,NA,60,0,1,NA,NA,NA,474,0,0,4,NA,4,21,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,0,NA,0,NA,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,145F15,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
3604,0735C561A8B643C0DAFFEEC997A3A1E7,3604,1959,2019,1994,NA,60,0,1,NA,NA,NA,474,0,0,4,NA,4,21,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,145F15,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
3605,0735C561A8B643C0DAFFEEC997A3A1E7,3605,1959,2019,1994,NA,60,0,1,NA,NA,NA,474,0,0,4,NA,4,19,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,0,NA,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,145F15,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
3606,0735C561A8B643C0DAFFEEC997A3A1E7,3606,1959,2019,1994,NA,60,0,1,NA,NA,NA,474,0,0,4,NA,4,19,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,145F15,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
6967,0E3503F28F43589E7D626ABCB886C46A,6967,1971,2019,1996,NA,48,0,1,NA,NA,NA,474,0,0,8,NA,4,26,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,1,NA,0,NA,0,1,1,0,0,0,0,0,0,1,1,1,NA,NA,0,1,1,0,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,145F14,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
6968,0E3503F28F43589E7D626ABCB886C46A,6968,1971,2019,1996,NA,48,0,1,NA,NA,NA,474,0,0,8,NA,4,25,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,1,NA,0,NA,0,1,1,0,0,0,0,0,0,1,1,1,NA,NA,0,0,1,0,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,145F14,NA,NA,NA,578,NA,NA,2927408,2927408,76,29,29
7826,101E208A51B8613213B1C0B9D216C50F,7826,1961,2019,1989,NA,58,0,1,NA,NA,NA,474,0,0,6,NA,4,19,NA,1,NA,NA,1,1,2,NA,NA,1,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,1,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,146F15,NA,NA,NA,519,NA,NA,2927408,2927408,76,29,29
7827,101E208A51B8613213B1C0B9D216C50F,7827,1961,2019,1989,NA,58,0,1,NA,NA,NA,474,0,0,6,NA,4,19,NA,1,NA,NA,1,1,2,NA,NA,1,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,1,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,146F15,NA,NA,NA,519,NA,NA,2927408,2927408,76,29,29
10101,14CC4CF71056E9466E55DC36516586AE,10101,1946,2019,1999,NA,73,0,1,NA,NA,NA,474,0,0,10,NA,4,25,NA,1,NA,NA,1,1,2,NA,NA,1,0,0,0,0,0,NA,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,145F15,NA,NA,NA,519,NA,NA,2927408,2927408,76,29,29
